Strain,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL
thc oral spray 17342,5.26,0.17,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc oral spray 18538,5.51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thc oral spray t247 i peppermint 17092,5.25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thca oral spray 15252 lotsp0095 ndc15252,0.20,5.38,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thca oral spray 17834,0.53,5.53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thca oral spray t266 i grape 17093,0.30,5.36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex prerolls t34 i 16417,0.17,34.22,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex shorties t2873 i 17408,0.23,32.50,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trillavex prerolls t30 s 16259,0.11,29.77,0.00,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropex pure vape t430 h 15295,81.71,4.31,0.14,0.05,0,0,0,0,0,0,0,0,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24
tropical kush prerolls t1773 s 21303,0.42,19.74,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tucana t28 fl 16628,0.21,27.57,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tucana t28 gr 16631,0.21,27.57,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tussaden prerolls t35 s 15312,0.22,35.06,0.00,0.02,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taffica t227 16583,0.65,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taffica t227 pr minis 16584,0.65,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taffica t26 16495,0.65,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taffica t26 pr minis 16496,0.65,25.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tarrganex pure vape t431 s 14297,84.04,2.14,0.30,0.15,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartaden 40 shorties t30 h 16392,0.20,29.96,0,0.03,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartaden flower sc t30 h 14318,0.20,29.96,0,0.03,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartaden flower t30 h 14317,0.20,29.96,0,0.03,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartaden pure vape t426 h 14207,82.16,3.03,0,0.03,0,0,1.28,0,0,0,0,0,1.42,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32
tartilex flower sc t34 h 17172,0.32,33.39,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartilex flower t34 h 17171,0.32,33.39,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartilex prerolls t34 h 17352,0.32,33.39,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tartilex shorties t34 h 17353,0.32,33.39,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenate t24 13665,0.17,23.5,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenate t26 14942,0.42,25.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenate t91 cr 14974,7.94,83.5,<0.01,0.16,<0.01,<0.01,0.58,<0.01,<0.01,<0.01,0.11,0.22,0.23,1.84,<0.01,0.13,0.11,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenate t92 cr 16469,8.76,83.1,<0.01,0.18,<0.01,<0.01,0.36,<0.01,<0.01,<0.01,0.12,0.15,0.29,2.27,<0.01,0.13,<0.01,0.11,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.10
taytenatepure t200c1 lx 14926,82.3,0.34,0.50,<0.01,0.30,1.17,0.89,<0.01,0.30,<0.01,0.22,0.37,1.98,<0.01,<0.01,1.49,3.79,0.55,0.22,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
taytenatepure t200c1 lx 14983,83.4,0.59,0.50,<0.01,0.23,0.45,2.07,0.24,0.71,<0.01,0.55,0.61,1.85,0.16,<0.01,1.16,3.14,0.66,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.15
taytenatepure t350c2 14927,82.3,0.34,0.50,<0.01,0.30,1.17,0.89,<0.01,0.30,<0.01,0.22,0.37,1.98,<0.01,<0.01,1.49,3.79,0.55,0.22,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
taytenatepure t350c2 14984,83.4,0.59,0.50,<0.01,0.23,0.45,2.07,0.24,0.71,<0.01,0.55,0.61,1.85,0.16,<0.01,1.16,3.14,0.66,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.15
taytenatepure t401c1 16562,78.4,1.86,0.27,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenatepure t420c3 16575,83.4,0.59,0.50,<0.01,<0.01,<0.01,2.07,<0.01,0.71,<0.01,0.55,0.61,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenatepure t803c3 16563,78.4,1.86,0.27,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenatepure t840c5 16576,83.4,0.59,0.50,<0.01,<0.01,<0.01,2.07,<0.01,0.71,<0.01,0.55,0.61,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select nano bites peach mango h 22183,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taytenatepure t860c5 14928,82.3,0.34,0.50,<0.01,0.30,1.17,0.89,<0.01,0.30,<0.01,0.22,0.37,1.98,<0.01,<0.01,1.49,3.79,0.55,0.22,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
taytenatepure t873c5 14985,83.4,0.59,0.50,<0.01,0.23,0.45,2.07,0.24,0.71,<0.01,0.55,0.61,1.85,0.16,<0.01,1.16,3.14,0.66,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.15
teal t28 fl 15643,0.11,28.08,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t28 fl 15644,0.11,28.08,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t28 fl 15645,0.11,28.08,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t28 gr 15646,0.11,28.08,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t28 prm 15647,0.11,28.08,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t29 fl 14665,0.17,29.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t29 fl 14666,0.17,29.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t29 fl 14667,0.17,29.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t29 gr 14669,0.17,29.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t29 pr 14670,0.17,29.04,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t30 fl 16795,0.22,29.88,---,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t30 gr 16796,0.22,29.88,---,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t30 prm 16797,0.22,29.88,---,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t31 fl 15006,0.18,30.40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t31 fl 15007,0.18,30.40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t31 fl 15008,0.18,30.40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t31 gr 15009,0.18,30.40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t31 pr 15010,0.18,30.40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 fl 16118,0.22,31.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 fl 16119,0.22,31.60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 fl 16120,0.22,31.60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 fl 16121,0.22,31.60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 gr 16122,0.22,31.60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teal t32 prm 16123,0.22,31.60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t15 19497,0.17,16.92,0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t15 pr minis 19498,0,16.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t15 smalls 19499,0,16.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t213 18355,0.43,23.78,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t213 pr minis 18356,0.43,23.78,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t213 smalls 19534,0.43,23.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t831 cr 18414,2.32,92.09,0,0.30,0,0,0,0,0,0,0,0,1.14,1.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templiva t91 cr 14977,5.66,84.9,<0.01,0.20,<0.01,<0.01,0.51,<0.01,<0.01,<0.01,0.20,0.20,0.38,1.93,<0.01,0.19,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templivapure t329 19579,65.78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
templivapure t658c1 19580,65.78,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden flower sc t30 16294,0.17,29.68,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden flower sc t36 s 17201,0.28,36.05,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden flower t30 s 16293,0.17,29.68,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden flower t36 s 17200,0.28,36.05,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aniva t30 9308,0.49,29.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden prerolls t30 s 16364,0.17,29.68,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden prerolls t36 s 17310,0.28,36.05,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden prerolls t37 s 14310,0.51,36.27,0,0.04,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden ro t87 s 17056,0.30,86.44,0,0.43,0,0,1.71,0,1.25,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68
tetraden shorties t30 s 16365,0.17,29.68,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden shorties t36 s 17311,0.28,36.05,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetraden shorties t37 s 14309,0.51,36.27,0,0.04,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex wreckspure t405 21175,80.93,0,0,0,0,1.60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex wreckspure t405 21177,80.93,0,0,0,0,1.60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex wreckspure t809 21176,80.93,0,0,0,0,1.60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tex wreckspure t809 21178,80.93,0,0,0,0,1.60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texibrid t2017 pr minis 21094,8.07,13.80,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texibrid t28 pr minis 14887,0.37,27.8,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texibrid t91 cr 14951,5.29,85.9,<0.01,0.22,<0.01,<0.01,0.43,<0.01,<0.01,<0.01,0.11,0.15,0.36,1.73,<0.01,0.39,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,0.17,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
texibridpure t371c9 18239,74.23,0,1.36,0.53,0.14,0.41,1.23,0.18,0.86,1.19,0.30,0.40,1.53,0.14,0,0,2.07,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
texibridpure t742c19 18361,74.23,0,1.36,0.53,0,0,1.23,0,0.86,1.19,0,0,1.53,0.14,0,0,2.07,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0
thailiva t24 13656,0.17,23.5,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 15000,0.32,27.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 16475,0.31,27.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 18387,1.39,30.38,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 pr minis 15001,0.32,27.3,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 pr minis 16476,0.31,27.6,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t28 pr minis 18388,1.39,30.38,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t32 pr xl 14823,0.32,31.5,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t90 cr 14911,10.0,80.2,<0.01,0.17,<0.01,<0.01,0.48,<0.01,<0.01,<0.01,0.19,0.20,0.54,2.87,<0.01,0.18,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t91 ba 14852,8.29,82.3,<0.01,0.17,<0.01,0.25,0.59,<0.01,0.16,<0.01,0.29,0.25,0.44,2.82,<0.01,0.21,<0.01,<0.01,0.17,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
thailiva t91 cr 14835,4.59,86.5,<0.01,0.19,<0.01,<0.01,0.27,<0.01,<0.01,<0.01,0.11,0.12,0.37,3.06,<0.01,0.22,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailiva t91 cr 14836,4.59,86.5,<0.01,0.19,<0.01,<0.01,0.27,<0.01,<0.01,<0.01,0.11,0.12,0.37,3.06,<0.01,0.22,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t368c7 18243,73.63,0,1.41,0,0.12,0.20,1.02,0.12,0.67,0.84,0.21,0.36,1.93,0,0,0,4.34,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t441c3 19450,88.13,0,0.52,0,0,0,0,0,0,0,0,0,2.28,0,0,0,3.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t441c3 19451,88.13,0,0.52,0,0,0,0,0,0,0,0,0,2.28,0,0,0,3.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t729c14 18328,73.63,0,1.41,0,0,0,1.02,0,0.67,0.84,0,0,1.93,0,0,0,4.34,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0
thailivapure t881c5 19452,88.13,0,0.52,0,0,0,0,0,0,0,0,0,2.28,0,0,0,3.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t881c5 19453,88.13,0,0.52,0,0,0,0,0,0,0,0,0,2.28,0,0,0,3.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thailivapure t881c5 19454,88.13,0,0.52,0,0,0,0,0,0,0,0,0,2.28,0,0,0,3.06,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the hog fl x sunday d oil x peach crescendo fl t4245 infused pr 21936,17.70,28.22,0,0,0,0,0,0,0,0,0,0,0.38,0.66,0,0,0.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the hog fl x sunday d oil x peach crescendo fl t4245 infused pr 21937,17.70,28.22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigers milk 05g vape t440 i 21315,87.98,0,0,0,0.36,1.39,0.30,0.27,0.85,1.74,0.26,0.11,2.09,0,0,0,0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigerbrid t234 16564,0.55,26.1,<0.01,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigerbrid t234 pr minis 16565,0.55,26.1,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigerbrid t29 13683,0.30,28.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tigerbrid t29 pr minis 13684,0.30,28.4,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aniva t30 9315,0.39,29.7,<0.10,<0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden 1g pure vape t871 h 17053,83.88,3.17,0.11,0,0,0,0,0,0,0,0,0,1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28
tortaden bold vape t435 h 17054,83.88,3.17,0.11,0,0,0,0,0,0,0,0,0,1.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28
tortaden flower sc t36 h 17085,0.28,35.90,0,0.16,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden flower t36 h 17084,0.28,35.90,0,0.16,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden prerolls t36 h 17177,0.28,35.90,0,0.16,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden pure vape t422 h 18518,84.30,0,1.62,0,0,0,1.57,0,0,0,0,0,2.69,0,0,0,1.23,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden pure vape t437 h 17961,87.47,0,0.31,0,0,0,1.82,0,0,0,0,0,3.53,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden pure vape t457 h 17901,91.30,0,0.27,0,0,0,1.80,0,0,0,0,0,2.59,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortaden shorties t36 h 17178,0.28,35.90,0,0.16,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex flower sc t34 i 16302,0.17,34.22,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex flower t34 i 16301,0.17,34.22,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex re t91 i 15327,2.65,88.70,0.00,0.03,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45
tortitex ro bold t422 i 17949,83.29,1.11,0.30,0,0,0,1.38,0,2.30,0,0,0,2.15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex ro pure vape t418 i 17902,82.47,1.22,0.34,0,0,0,1.31,0,2.26,0,0,0,2.16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortitex shorties t34 i 16418 lotpr0321,0.17,34.22,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
